quote_id,product,kw,unit_price,qty,subtotal_price,gross_margin_rate,convert_to_order,energy_grant_amount,competitor_a,competitor_b,competitor_c,subtotal_expected,subtotal_diff,subtotal_diff_abs,is_success,gross_profit_amount,estimated_cogs,unit_gross_profit,unit_estimated_cogs,effective_subtotal_after_grant,grant_to_subtotal_ratio,grant_to_unit_price_ratio,price_gap_vs_competitor_a,price_gap_pct_vs_competitor_a,is_cheaper_than_competitor_a,price_gap_vs_competitor_b,price_gap_pct_vs_competitor_b,is_cheaper_than_competitor_b,price_gap_vs_competitor_c,price_gap_pct_vs_competitor_c,is_cheaper_than_competitor_c,min_competitor_price,avg_competitor_price,available_competitor_count,price_gap_vs_min_competitor,price_gap_pct_vs_min_competitor,is_cheaper_than_min_competitor,effective_unit_price_after_grant,effective_gap_pct_vs_min_competitor
Q-00114,W,11.0,136000.0,1,136000.0,0.0712,0,66000,,,,136000.0,0.0,0.0,1,9683.2,126316.79999999999,9683.2,126316.79999999999,70000.0,0.48529411764705527,0.48529411764705527,,,,,,,,,,,,0,,,,70000.0,
Q-00119,H1,37.0,290000.0,2,580000.0,0.3079,0,222000,360000.0,,,580000.0,0.0,0.0,1,178582.0,401417.99999999994,89291.0,200708.99999999997,358000.0,0.3827586206896545,0.7655172413793078,-70000.0,-0.19444444444444392,1,,,,,,,360000.0,360000.0,1,-70000.0,-0.19444444444444392,1,179000.0,-0.5027777777777764
Q-00161,Y,150.0,2379000.0,1,2379000.0,0.4224,1,720000,,,,2379000.0,0.0,0.0,0,1004889.6,1374110.4,1004889.6,1374110.4,1659000.0,0.3026481715006304,0.3026481715006304,,,,,,,,,,,,0,,,,1659000.0,
Q-00214,I1,22.0,300000.0,1,300000.0,0.6787000000000001,0,132000,240000.0,,,300000.0,0.0,0.0,1,203610.00000000003,96389.99999999997,203610.00000000003,96389.99999999997,168000.0,0.43999999999999856,0.43999999999999856,60000.0,0.24999999999999897,0,,,,,,,240000.0,240000.0,1,60000.0,0.24999999999999897,0,168000.0,-0.29999999999999877
Q-00517,I1,22.0,228964.0,1,228964.0,0.2949,0,132000,240000.0,,,228964.0,0.0,0.0,1,67521.48359999999,161442.51640000002,67521.48359999999,161442.51640000002,96964.0,0.5765098443423395,0.5765098443423395,-11036.0,-0.04598333333333315,1,,,,,,,240000.0,240000.0,1,-11036.0,-0.04598333333333315,1,96964.0,-0.5959833333333309
Q-00521,N1,75.0,1283500.0,1,1283500.0,0.6515000000000001,1,375000,760000.0,900000.0,,1283500.0,0.0,0.0,0,836200.2500000001,447299.7499999999,836200.2500000001,447299.7499999999,908500.0,0.2921698480716788,0.2921698480716788,523500.0,0.6888157894736833,0,383500.0,0.4261111111111106,0,,,,760000.0,830000.0,2,523500.0,0.6888157894736833,0,908500.0,0.19539473684210498
Q-00525,I1,22.0,270000.0,1,270000.0,0.3983,0,132000,240000.0,,,270000.0,0.0,0.0,1,107541.0,162459.0,107541.0,162459.0,138000.0,0.4888888888888871,0.4888888888888871,30000.0,0.12499999999999949,0,,,,,,,240000.0,240000.0,1,30000.0,0.12499999999999949,0,138000.0,-0.42499999999999827
Q-00525,H1,37.0,290000.0,2,580000.0,0.3983,0,222000,360000.0,,,580000.0,0.0,0.0,1,231014.0,348986.0,115507.0,174493.0,358000.0,0.3827586206896545,0.7655172413793078,-70000.0,-0.19444444444444392,1,,,,,,,360000.0,360000.0,1,-70000.0,-0.19444444444444392,1,179000.0,-0.5027777777777764
Q-00167,O1,75.0,775970.0,1,775970.0,0.4117,0,375000,760000.0,900000.0,,775970.0,0.0,0.0,1,319466.849,456503.151,319466.849,456503.151,400970.0,0.4832661056484136,0.4832661056484136,15970.0,0.021013157894736813,0,-124030.0,-0.13781111111111094,1,,,,760000.0,830000.0,2,15970.0,0.021013157894736813,0,400970.0,-0.47240789473684147
Q-01157,Z,150.0,1703700.0,1,1703700.0,0.1949,0,720000,,,,1703700.0,0.0,0.0,1,332051.13,1371648.87,332051.13,1371648.87,983700.0,0.4226096143687267,0.4226096143687267,,,,,,,,,,,,0,,,,983700.0,
