quote_id,product,product_model,kw,qty,current_gmr_pct,recommended_gmr_pct,delta_gmr_pct_point,unit_price,recommended_unit_price,delta_unit_price,subtotal_price,recommended_subtotal_price,delta_subtotal_price,estimated_cost,estimated_gross_profit,recommended_estimated_gross_profit,current_predicted_win_probability_pct,recommended_predicted_win_probability_pct,delta_predicted_win_probability_pct_point,current_expected_profit,recommended_expected_profit,delta_expected_profit,avg_competitor_price,price_gap_avg_competitor_pct,recommended_price_gap_avg_competitor_pct,convert_to_order,success,row_id,gross_margin_rate,energy_grant_amount,current_predicted_win_probability,recommended_gmr,recommended_predicted_win_probability,higher_than_avg_competitor,is_lower_than_competitor,recommendation_objective,min_win_prob_constraint,used_fallback_because_no_candidate_met_min_win_prob,delta_gmr,delta_predicted_win_probability
Q-00114,W,W,11.0,1,7.12,50.0,42.88,136000.0,252633.6,116633.6,136000.0,252633.6,116633.6,126316.8,9683.2,126316.8,98.42,67.07,-31.35,9530.325892585566,84719.3135025243,75188.98760993873,,,,0,1,0,0.0712,66000,0.9842124393367446,0.5,0.6706891997147196,0,0,expected_profit,0.0,False,0.4288,-0.313523239622025
Q-00119,H1,H1,37.0,2,30.79,60.0,29.21,290000.0,501772.5,211772.5,580000.0,1003545.0,423545.0,401418.0,178582.0,602127.0,99.98,96.92,-3.07,178550.17540413744,583553.3481496562,405003.17274551874,360000.0,-19.444444444444446,39.38125,0,1,1,0.3079,222000,0.9998217928130352,0.6,0.9691532652574227,1,0,expected_profit,0.0,False,0.29209999999999997,-0.030668527555612446
Q-00161,Y,Other,150.0,1,42.24,20.0,-22.24,2379000.0,1717637.9999999998,-661362.0000000002,2379000.0,1717637.9999999998,-661362.0000000002,1374110.4,1004889.6,343527.6,1.48,85.05,83.57,14887.760226526663,292177.5528420019,277289.79261547525,,,,1,0,2,0.4224,720000,0.014815319241563117,0.2,0.8505213346525925,0,0,expected_profit,0.0,False,-0.2224,0.8357060154110294
Q-00167,O1,O1,75.0,1,41.17,50.0,8.83,775970.0,913006.302,137036.30200000003,775970.0,913006.302,137036.30200000003,456503.151,319466.849,456503.151,86.96,82.48,-4.48,277797.2285743044,376521.78460637055,98724.55603206618,830000.0,-6.509638554216868,10.000759277108436,0,1,3,0.4117,375000,0.869565119022113,0.5,0.824795587459966,1,0,expected_profit,0.0,False,0.08829999999999999,-0.044769531562147025
Q-00214,I1,I1,22.0,1,67.87,55.0,-12.87,300000.0,214199.99999999997,-85800.00000000003,300000.0,214199.99999999997,-85800.00000000003,96389.99999999997,203610.00000000003,117810.0,94.79,91.52,-3.28,193008.97502918215,107817.00480757873,-85191.97022160342,240000.0,25.0,-10.750000000000012,0,1,4,0.6787000000000001,132000,0.9479346546298419,0.55,0.9151770206907626,0,1,expected_profit,0.0,False,-0.12870000000000004,-0.03275763393907938
Q-00473,H1,H1,37.0,1,54.75,60.0,5.25,400000.0,452500.00000000006,52500.00000000006,400000.0,452500.0,52500.0,181000.0,219000.0,271500.0,96.82,97.99,1.17,212027.06104722555,266032.0747885381,54005.01374131255,360000.0,11.11111111111111,25.694444444444457,0,1,5,0.5475,222000,0.9681600961060528,0.6,0.9798603122966413,1,0,expected_profit,0.0,False,0.05249999999999999,0.011700216190588475
Q-00517,I1,I1,22.0,1,29.49,50.0,20.51,228964.0,322885.03280000004,93921.03280000004,228964.0,322885.03280000004,93921.03280000004,161442.51640000002,67521.48359999999,161442.51640000002,92.89,65.54,-27.35,62718.17415045638,105802.95163747048,43084.7774870141,240000.0,-4.598333333333334,34.53543033333335,0,1,6,0.2949,132000,0.9288625013336702,0.5,0.6553599014483057,1,0,expected_profit,0.0,False,0.2051,-0.2735025998853645
Q-00521,N1,N1,75.0,1,65.15,50.0,-15.15,1283500.0,894599.4999999998,-388900.50000000023,1283500.0,894599.4999999998,-388900.50000000023,447299.7499999999,836200.2500000001,447299.7499999999,0.02,74.39,74.37,150.4230566946184,332736.75054078846,332586.32748409384,830000.0,54.638554216867476,7.783072289156598,1,0,7,0.6515000000000001,375000,0.00017988879660657645,0.5,0.7438786865872126,1,0,expected_profit,0.0,False,-0.15150000000000008,0.743698797790606
Q-00525,H1,H1,37.0,2,39.83,60.0,20.17,290000.0,436232.5,146232.5,580000.0,872465.0,292465.0,348986.0,231014.0,523479.0,99.98,98.7,-1.28,230972.55207287977,516685.3821827696,285712.83010988985,360000.0,-19.444444444444446,21.175694444444446,0,1,8,0.3983,222000,0.999820582617849,0.6,0.9870221769789611,1,0,expected_profit,0.0,False,0.2017,-0.0127984056388879
Q-00525,I1,I1,22.0,1,39.83,50.0,10.17,270000.0,324918.0,54918.0,270000.0,324918.0,54918.0,162459.0,107541.0,162459.0,77.38,94.49,17.1,83220.30977981705,153505.2395424412,70284.92976262416,240000.0,12.5,35.3825,0,1,9,0.3983,132000,0.7738472748051166,0.5,0.9448860299671992,1,0,expected_profit,0.0,False,0.10170000000000001,0.17103875516208256
Q-01157,Z,Other,150.0,1,19.49,20.0,0.51,1703700.0,1714561.0875000001,10861.08750000014,1703700.0,1714561.0875000001,10861.08750000014,1371648.87,332051.13,342912.2175,85.34,85.05,-0.29,283385.3189802914,291654.1568967801,8268.837916488701,,,,0,1,10,0.1949,720000,0.8534388031755574,0.2,0.8505213346525925,0,0,expected_profit,0.0,False,0.005100000000000021,-0.0029174685229649278
Q-01180,O1,O1,75.0,1,41.17,50.0,8.83,775970.0,913006.302,137036.30200000003,775970.0,913006.302,137036.30200000003,456503.151,319466.849,456503.151,86.96,82.48,-4.48,277797.2285743044,376521.78460637055,98724.55603206618,830000.0,-6.509638554216868,10.000759277108436,0,1,11,0.4117,375000,0.869565119022113,0.5,0.824795587459966,1,0,expected_profit,0.0,False,0.08829999999999999,-0.044769531562147025
Q-01291,K,K,37.0,1,46.47,35.0,-11.47,577800.0,475840.5230769231,-101959.4769230769,577800.0,475840.5230769231,-101959.4769230769,309296.34,268503.66,166544.18307692307,10.84,47.66,36.82,29104.70350422617,79369.9852609981,50265.28175677193,,,,1,0,12,0.4647,190920,0.10839592839898783,0.35,0.47657014369777695,0,0,expected_profit,0.0,False,-0.11470000000000002,0.36817421529878913
Q-01366,N1,N1,75.0,2,30.84,30.0,-0.84,845960.0,835808.48,-10151.520000000019,1691920.0,1671616.96,-20303.040000000037,1170131.872,521788.128,501485.088,97.09,96.57,-0.52,506596.3089154627,484274.8915075931,-22321.417407869594,830000.0,1.9228915662650603,0.6998168674698773,0,1,13,0.3084,375000,0.9708850809949104,0.3,0.9656815388847477,1,0,expected_profit,0.0,False,-0.008400000000000019,-0.005203542110162718
Q-01420,I1,I1,22.0,1,41.27,50.0,8.73,273100.0,320783.26,47683.26000000001,273100.0,320783.26,47683.26000000001,160391.63,112708.37000000001,160391.63,42.74,77.01,34.28,48166.360260338166,123523.89619212333,75357.53593178515,240000.0,13.791666666666666,33.65969166666667,0,1,14,0.4127,132000,0.42735388915959094,0.5,0.7701392908852122,1,0,expected_profit,0.0,False,0.08729999999999999,0.3427854017256212
Q-01475,W,W,11.0,1,28.92,50.0,21.08,168000.0,238828.8,70828.79999999999,168000.0,238828.8,70828.79999999999,119414.4,48585.6,119414.4,84.9,61.05,-23.85,41248.03398341201,72898.97354545361,31650.939562041603,,,,0,1,15,0.2892,66000,0.8489765276833467,0.5,0.610470542459315,0,0,expected_profit,0.0,False,0.2108,-0.23850598522403177
Q-01746,N1,N1,75.0,1,37.67,55.0,17.33,690000.0,955726.6666666667,265726.66666666674,690000.0,955726.6666666667,265726.66666666674,430077.0,259923.0,525649.6666666667,84.25,93.84,9.6,218982.37331726679,493291.68365546793,274309.3103382011,830000.0,-16.867469879518072,15.147791164658644,0,1,16,0.3767,375000,0.8424894038513975,0.55,0.9384419223236792,1,0,expected_profit,0.0,False,0.17330000000000007,0.0959525184722817
Q-01774,N1,N1,75.0,1,31.72,50.0,18.28,658000.0,898564.8,240564.80000000005,658000.0,898564.8,240564.80000000005,449282.4,208717.59999999998,449282.4,88.98,87.86,-1.12,185718.98310167942,394733.13405527564,209014.15095359623,830000.0,-20.722891566265062,8.260819277108439,0,1,17,0.3172,375000,0.8898098823562529,0.5,0.8785857938242754,1,0,expected_profit,0.0,False,0.18280000000000002,-0.011224088531977539
Q-01775,H1,H1,37.0,2,47.11,60.0,12.89,391300.0,517396.425,126096.42499999999,782600.0,1034792.85,252192.84999999998,413917.14,368682.86,620875.71,14.52,95.69,81.17,53534.74890186056,594100.6992447915,540565.950342931,360000.0,8.694444444444445,43.72122916666667,1,0,18,0.4711,222000,0.14520541828784925,0.6,0.9568754094837945,1,0,expected_profit,0.0,False,0.12889999999999996,0.8116699911959452
Q-01922,H1,H1,37.0,1,54.55,50.0,-4.55,570000.0,518130.0,-51870.0,570000.0,518130.0,-51870.0,259065.0,310935.0,259065.0,88.82,91.49,2.67,276174.79247603164,237028.20557382982,-39146.586902201816,360000.0,58.333333333333336,43.925,0,1,19,0.5455,222000,0.8882074789780232,0.5,0.914937199443498,1,0,expected_profit,0.0,False,-0.045499999999999985,0.026729720465474838
Q-02039,N1,N1,75.0,1,42.09,55.0,12.91,669000.0,860928.6666666669,191928.66666666686,669000.0,860928.6666666669,191928.66666666686,387417.9,281582.1,473510.76666666684,80.6,97.18,16.57,226967.69959696595,460142.38757686137,233174.68797989542,830000.0,-19.397590361445783,3.726345381526128,0,1,20,0.4209,375000,0.8060444879023417,0.55,0.9717675287852192,1,0,expected_profit,0.0,False,0.12910000000000005,0.16572304088287748
Q-02113,N1,N1,75.0,2,33.93,45.0,11.07,718000.0,862513.8181818182,144513.81818181823,1436000.0,1725027.6363636362,289027.63636363624,948765.2,487234.8,776262.4363636363,95.7,97.22,1.52,466280.60469239776,754677.1027162285,288396.4980238307,830000.0,-13.493975903614459,3.9173274917853296,0,1,21,0.3393,375000,0.9569936398065118,0.45,0.9721932523895871,1,0,expected_profit,0.0,False,0.11070000000000002,0.01519961258307534
Q-02125,H1,H1,37.0,1,44.25,55.0,10.75,346900.0,429770.5555555556,82870.55555555562,346900.0,429770.5555555556,82870.55555555562,193396.75,153503.25,236373.80555555562,95.78,99.36,3.58,147025.8234010375,234862.27947027722,87836.45606923974,360000.0,-3.638888888888889,19.38070987654323,0,1,22,0.4425,222000,0.9578026745429655,0.55,0.9936053570668466,1,0,expected_profit,0.0,False,0.10750000000000004,0.03580268252388108
