original_feature,local_diffi_importance,max_transformed_importance,row_index,quote_id,product,pricing_anomaly_score_0_100,anomaly_direction
product,1.7303547041220901,0.2954761904761905,987,Q-11707,E1,100.0,Conversion risk review
is_compe_c,0.14155844155844163,0.14155844155844163,987,Q-11707,E1,100.0,Conversion risk review
estimated_cost,0.13719630709426633,0.13719630709426633,987,Q-11707,E1,100.0,Conversion risk review
price_gap_min_competitor,0.12390873015873018,0.12390873015873018,987,Q-11707,E1,100.0,Conversion risk review
subtotal_price,0.11060354374307864,0.11060354374307864,987,Q-11707,E1,100.0,Conversion risk review
avg_competitor_price,0.1032596371882086,0.1032596371882086,987,Q-11707,E1,100.0,Conversion risk review
price_gap_avg_competitor,0.09910714285714285,0.09910714285714285,987,Q-11707,E1,100.0,Conversion risk review
unit_price,0.09674603174603175,0.09674603174603175,987,Q-11707,E1,100.0,Conversion risk review
is_compe_a,0.09423963133640552,0.09423963133640552,987,Q-11707,E1,100.0,Conversion risk review
energy_grant_amount,0.08301091269841271,0.08301091269841271,987,Q-11707,E1,100.0,Conversion risk review
product,1.7279696157854851,0.2912907268170426,989,Q-11708,E1,99.87,Conversion risk review
is_compe_c,0.14155844155844163,0.14155844155844163,989,Q-11708,E1,99.87,Conversion risk review
estimated_cost,0.13595238095238102,0.13595238095238102,989,Q-11708,E1,99.87,Conversion risk review
price_gap_min_competitor,0.12390873015873018,0.12390873015873018,989,Q-11708,E1,99.87,Conversion risk review
subtotal_price,0.11060354374307864,0.11060354374307864,989,Q-11708,E1,99.87,Conversion risk review
avg_competitor_price,0.10260243632336655,0.10260243632336655,989,Q-11708,E1,99.87,Conversion risk review
price_gap_avg_competitor,0.09910714285714285,0.09910714285714285,989,Q-11708,E1,99.87,Conversion risk review
unit_price,0.09627329192546584,0.09627329192546584,989,Q-11708,E1,99.87,Conversion risk review
is_compe_a,0.09423963133640552,0.09423963133640552,989,Q-11708,E1,99.87,Conversion risk review
energy_grant_amount,0.08301091269841271,0.08301091269841271,989,Q-11708,E1,99.87,Conversion risk review
product,1.5866182803894369,0.17140211640211644,1092,Q-12530,D1,99.46,High conversion risk review
is_compe_c,0.14199735449735457,0.14199735449735457,1092,Q-12530,D1,99.46,High conversion risk review
price_gap_min_competitor,0.13571428571428573,0.13571428571428573,1092,Q-12530,D1,99.46,High conversion risk review
unit_price,0.10657738095238097,0.10657738095238097,1092,Q-12530,D1,99.46,High conversion risk review
is_compe_a,0.10610599078341013,0.10610599078341013,1092,Q-12530,D1,99.46,High conversion risk review
subtotal_price,0.10357142857142859,0.10357142857142859,1092,Q-12530,D1,99.46,High conversion risk review
estimated_gross_profit,0.10040816326530619,0.10040816326530619,1092,Q-12530,D1,99.46,High conversion risk review
price_gap_avg_competitor,0.09912280701754386,0.09912280701754386,1092,Q-12530,D1,99.46,High conversion risk review
avg_competitor_price,0.09619047619047619,0.09619047619047619,1092,Q-12530,D1,99.46,High conversion risk review
price_gap_avg_competitor_pct,0.09379021879021879,0.09379021879021879,1092,Q-12530,D1,99.46,High conversion risk review
product,1.5866182803894369,0.17140211640211644,1093,Q-12532,D1,99.46,High conversion risk review
is_compe_c,0.14199735449735457,0.14199735449735457,1093,Q-12532,D1,99.46,High conversion risk review
price_gap_min_competitor,0.13571428571428573,0.13571428571428573,1093,Q-12532,D1,99.46,High conversion risk review
unit_price,0.10657738095238097,0.10657738095238097,1093,Q-12532,D1,99.46,High conversion risk review
is_compe_a,0.10610599078341013,0.10610599078341013,1093,Q-12532,D1,99.46,High conversion risk review
subtotal_price,0.10357142857142859,0.10357142857142859,1093,Q-12532,D1,99.46,High conversion risk review
estimated_gross_profit,0.10040816326530619,0.10040816326530619,1093,Q-12532,D1,99.46,High conversion risk review
price_gap_avg_competitor,0.09912280701754386,0.09912280701754386,1093,Q-12532,D1,99.46,High conversion risk review
avg_competitor_price,0.09619047619047619,0.09619047619047619,1093,Q-12532,D1,99.46,High conversion risk review
price_gap_avg_competitor_pct,0.09379021879021879,0.09379021879021879,1093,Q-12532,D1,99.46,High conversion risk review
product,1.5866182803894369,0.17140211640211644,2111,Q-18203,D1,99.46,High conversion risk review
is_compe_c,0.14199735449735457,0.14199735449735457,2111,Q-18203,D1,99.46,High conversion risk review
price_gap_min_competitor,0.13571428571428573,0.13571428571428573,2111,Q-18203,D1,99.46,High conversion risk review
unit_price,0.10657738095238097,0.10657738095238097,2111,Q-18203,D1,99.46,High conversion risk review
is_compe_a,0.10610599078341013,0.10610599078341013,2111,Q-18203,D1,99.46,High conversion risk review
subtotal_price,0.10357142857142859,0.10357142857142859,2111,Q-18203,D1,99.46,High conversion risk review
estimated_gross_profit,0.10040816326530619,0.10040816326530619,2111,Q-18203,D1,99.46,High conversion risk review
price_gap_avg_competitor,0.09912280701754386,0.09912280701754386,2111,Q-18203,D1,99.46,High conversion risk review
avg_competitor_price,0.09619047619047619,0.09619047619047619,2111,Q-18203,D1,99.46,High conversion risk review
price_gap_avg_competitor_pct,0.09379021879021879,0.09379021879021879,2111,Q-18203,D1,99.46,High conversion risk review
product,1.5866182803894369,0.17140211640211644,2177,Q-18581,D1,99.46,High conversion risk review
is_compe_c,0.14199735449735457,0.14199735449735457,2177,Q-18581,D1,99.46,High conversion risk review
price_gap_min_competitor,0.13571428571428573,0.13571428571428573,2177,Q-18581,D1,99.46,High conversion risk review
unit_price,0.10657738095238097,0.10657738095238097,2177,Q-18581,D1,99.46,High conversion risk review
is_compe_a,0.10610599078341013,0.10610599078341013,2177,Q-18581,D1,99.46,High conversion risk review
subtotal_price,0.10357142857142859,0.10357142857142859,2177,Q-18581,D1,99.46,High conversion risk review
estimated_gross_profit,0.10040816326530619,0.10040816326530619,2177,Q-18581,D1,99.46,High conversion risk review
price_gap_avg_competitor,0.09912280701754386,0.09912280701754386,2177,Q-18581,D1,99.46,High conversion risk review
avg_competitor_price,0.09619047619047619,0.09619047619047619,2177,Q-18581,D1,99.46,High conversion risk review
price_gap_avg_competitor_pct,0.09379021879021879,0.09379021879021879,2177,Q-18581,D1,99.46,High conversion risk review
product,1.5866182803894369,0.17140211640211644,3688,Q-30348,D1,99.46,High conversion risk review
is_compe_c,0.14199735449735457,0.14199735449735457,3688,Q-30348,D1,99.46,High conversion risk review
price_gap_min_competitor,0.13571428571428573,0.13571428571428573,3688,Q-30348,D1,99.46,High conversion risk review
unit_price,0.10657738095238097,0.10657738095238097,3688,Q-30348,D1,99.46,High conversion risk review
is_compe_a,0.10610599078341013,0.10610599078341013,3688,Q-30348,D1,99.46,High conversion risk review
subtotal_price,0.10357142857142859,0.10357142857142859,3688,Q-30348,D1,99.46,High conversion risk review
estimated_gross_profit,0.10040816326530619,0.10040816326530619,3688,Q-30348,D1,99.46,High conversion risk review
price_gap_avg_competitor,0.09912280701754386,0.09912280701754386,3688,Q-30348,D1,99.46,High conversion risk review
avg_competitor_price,0.09619047619047619,0.09619047619047619,3688,Q-30348,D1,99.46,High conversion risk review
price_gap_avg_competitor_pct,0.09379021879021879,0.09379021879021879,3688,Q-30348,D1,99.46,High conversion risk review
product,1.5866182803894369,0.17140211640211644,3457,Q-28185,D1,99.46,High conversion risk review
is_compe_c,0.14199735449735457,0.14199735449735457,3457,Q-28185,D1,99.46,High conversion risk review
price_gap_min_competitor,0.13571428571428573,0.13571428571428573,3457,Q-28185,D1,99.46,High conversion risk review
unit_price,0.10657738095238097,0.10657738095238097,3457,Q-28185,D1,99.46,High conversion risk review
is_compe_a,0.10610599078341013,0.10610599078341013,3457,Q-28185,D1,99.46,High conversion risk review
subtotal_price,0.10357142857142859,0.10357142857142859,3457,Q-28185,D1,99.46,High conversion risk review
