row_index,quote_id,product,pricing_anomaly_score_0_100,anomaly_direction,top_local_diffi_features,local_diffi_business_explanation
29,Q-02428,S,72.96,Unusual pricing pattern review,product (0.9576); price_gap_avg_competitor (0.0688); avg_competitor_price (0.0566); price_gap_min_competitor (0.0565); competitor_a (0.0548),"product category contributes to unusual pricing pattern (S); price_gap_avg_competitor contributes to anomaly; avg_competitor_price is unusually high (1,880,000.0000, above P90); price_gap_min_competitor contributes to anomaly; competitor_a contributes to anomaly."
31,Q-02733,S,88.34,Unusual pricing pattern review,product (1.3669); estimated_cost (0.0933); subtotal_price (0.0851); price_gap_avg_competitor (0.0808); effective_price_after_grant (0.0724),"product category contributes to unusual pricing pattern (S); estimated_cost is unusually high (2,873,617.9200, above P90); subtotal price is unusually high (3,667,200, above P90); price_gap_avg_competitor contributes to anomaly; effective_price_after_grant is unusually high (3,139,200.0000, above P90)."
191,Q-06228,S,88.14,High conversion risk review,product (1.1650); unit_price (0.0804); price_gap_min_competitor (0.0768); price_gap_avg_competitor (0.0725); estimated_gross_profit (0.0687),"product category contributes to unusual pricing pattern (S); unit price is unusually high (3,420,000, above P90); price_gap_min_competitor contributes to anomaly; price_gap_avg_competitor contributes to anomaly; estimated gross profit is unusually high (2,191,194, above P90)."
225,Q-06327,T,83.84,High conversion risk review,product (1.3727); price_gap_min_competitor (0.0796); unit_price (0.0725); estimated_gross_profit (0.0721); avg_competitor_price (0.0687),"product category contributes to unusual pricing pattern (T); price_gap_min_competitor contributes to anomaly; unit price is unusually high (3,420,000, above P90); estimated gross profit is unusually high (2,205,558, above P90); avg_competitor_price is unusually high (1,880,000.0000, above P90)."
298,Q-06634,S,80.75,Conversion risk review,product (0.9219); subtotal_price (0.0659); effective_price_after_grant (0.0654); avg_competitor_price (0.0628); competitor_a (0.0600),"product category contributes to unusual pricing pattern (S); subtotal price is unusually high (3,933,000, above P90); effective_price_after_grant is unusually high (3,405,000.0000, above P90); avg_competitor_price is unusually high (1,880,000.0000, above P90); competitor_a contributes to anomaly."
299,Q-06635,S,80.75,Conversion risk review,product (0.9219); subtotal_price (0.0659); effective_price_after_grant (0.0654); avg_competitor_price (0.0628); competitor_a (0.0600),"product category contributes to unusual pricing pattern (S); subtotal price is unusually high (3,933,000, above P90); effective_price_after_grant is unusually high (3,405,000.0000, above P90); avg_competitor_price is unusually high (1,880,000.0000, above P90); competitor_a contributes to anomaly."
310,Q-06683,S,88.1,High conversion risk review,product (1.1567); unit_price (0.0795); price_gap_min_competitor (0.0768); price_gap_avg_competitor (0.0735); is_compe_a (0.0704),"product category contributes to unusual pricing pattern (S); unit price is unusually high (3,420,000, above P90); price_gap_min_competitor contributes to anomaly; price_gap_avg_competitor contributes to anomaly; is_compe_a contributes to anomaly."
469,Q-07853,D1,93.21,Conversion risk review,product (1.3530); is_compe_c (0.1157); avg_competitor_price (0.1016); subtotal_price (0.0922); kw (0.0884),"product category contributes to unusual pricing pattern (D1); is_compe_c contributes to anomaly; avg_competitor_price is unusually high (2,000,000.0000, above P90); subtotal price is unusually high (5,621,200, above P90); kw contributes to anomaly."
513,Q-08241,T,80.34,Unusual pricing pattern review,product (1.2728); subtotal_price (0.0673); avg_competitor_price (0.0663); competitor_a (0.0655); estimated_cost (0.0617),"product category contributes to unusual pricing pattern (T); subtotal price is unusually high (2,862,540, above P90); avg_competitor_price is unusually high (1,880,000.0000, above P90); competitor_a contributes to anomaly; estimated_cost is unusually high (2,362,740.5160, above P90)."
529,Q-08465,T,84.04,High conversion risk review,product (1.4202); estimated_gross_profit (0.0835); price_gap_min_competitor (0.0784); unit_price (0.0752); avg_competitor_price (0.0682),"product category contributes to unusual pricing pattern (T); estimated gross profit is unusually high (2,398,104, above P90); price_gap_min_competitor contributes to anomaly; unit price is unusually high (3,420,000, above P90); avg_competitor_price is unusually high (1,880,000.0000, above P90)."
573,Q-08767,E1,97.1,High conversion risk review,product (1.5776); is_compe_c (0.1452); price_gap_min_competitor (0.1343); is_compe_a (0.1043); subtotal_price (0.1008),"product category contributes to unusual pricing pattern (E1); is_compe_c contributes to anomaly; price_gap_min_competitor contributes to anomaly; is_compe_a contributes to anomaly; subtotal price is unusually high (4,600,000, above P90)."
661,Q-09626,D1,90.3,High conversion risk review,product (1.3466); is_compe_c (0.1160); unit_price (0.0975); avg_competitor_price (0.0951); price_gap_min_competitor (0.0889),"product category contributes to unusual pricing pattern (D1); is_compe_c contributes to anomaly; unit price is unusually high (3,500,000, above P90); avg_competitor_price is unusually high (2,000,000.0000, above P90); price_gap_min_competitor contributes to anomaly."
709,Q-09993,N1,86.58,Conversion risk review,product (0.9504); estimated_cost (0.0879); effective_price_after_grant (0.0872); subtotal_price (0.0858); estimated_gross_profit (0.0749),"product category contributes to unusual pricing pattern (N1); estimated_cost is unusually high (3,441,528.9600, above P90); effective_price_after_grant is unusually high (4,842,600.0000, above P90); subtotal price is unusually high (5,217,600, above P90); estimated gross profit is unusually high (1,776,071, above P90)."
719,Q-10080,D1,82.37,Conversion risk review,product (1.0563); is_compe_c (0.0980); avg_competitor_price (0.0868); kw (0.0738); unit_price (0.0698),"product category contributes to unusual pricing pattern (D1); is_compe_c contributes to anomaly; avg_competitor_price is unusually high (2,000,000.0000, above P90); kw contributes to anomaly; unit price is unusually high (2,810,600, above P90)."
