quote_id,product,gross_margin_rate,unit_price,qty,subtotal_price,energy_grant_amount,grant_ratio_to_subtotal,product_win_rate_pct,num_diagnosis_reasons,lost_diagnosis_reasons,competitor_count_available,avg_competitor_price,price_gap_avg_competitor,price_gap_avg_competitor_pct,higher_than_avg_competitor,gross_margin_rate_pct,grant_ratio_to_subtotal_pct
Q-00161,Y,0.4224,2379000.0,1,2379000.0,720000,0.3026481715006305,27.27,2,Low or no energy grant advantage; No competitor information available,0,,,,,42.24,30.26
Q-00521,N1,0.6515000000000001,1283500.0,1,1283500.0,375000,0.292169848071679,34.87,3,Gross Margin Rate too high; Price higher than competitors; Low or no energy grant advantage,2,830000.0,453500.0,54.63855421686748,1.0,65.15,29.22
Q-01291,K,0.4647,577800.0,1,577800.0,190920,0.3304257528556594,23.53,3,Low or no energy grant advantage; Product has historically low win rate; No competitor information available,0,,,,,46.47,33.04
Q-01775,H1,0.4711,391300.0,2,782600.0,222000,0.2836698185535395,29.39,2,Price higher than competitors; Low or no energy grant advantage,1,360000.0,31300.0,8.694444444444445,1.0,47.11,28.37
Q-02733,S,0.2164,1222400.0,3,3667200.0,528000,0.143979057591623,15.22,2,Low or no energy grant advantage; Product has historically low win rate,1,1880000.0,-657600.0,-34.97872340425532,0.0,21.64,14.4
Q-03409,N1,0.6487,1283500.0,1,1283500.0,375000,0.292169848071679,34.87,3,Gross Margin Rate too high; Price higher than competitors; Low or no energy grant advantage,2,830000.0,453500.0,54.63855421686748,1.0,64.87,29.22
Q-03409,N1,0.6487,1283500.0,1,1283500.0,375000,0.292169848071679,34.87,3,Gross Margin Rate too high; Price higher than competitors; Low or no energy grant advantage,2,830000.0,453500.0,54.63855421686748,1.0,64.87,29.22
Q-05576,M,0.5687,1252700.0,1,1252700.0,322500,0.2574439211303584,22.22,4,Gross Margin Rate too high; Low or no energy grant advantage; Product has historically low win rate; No competitor information available,0,,,,,56.87,25.74
Q-05577,E,0.5986,408100.0,1,408100.0,48600,0.1190884587111002,20.0,4,Gross Margin Rate too high; Low or no energy grant advantage; Product has historically low win rate; No competitor information available,0,,,,,59.86,11.91
Q-05577,E,0.5986,408100.0,1,408100.0,48600,0.1190884587111002,20.0,4,Gross Margin Rate too high; Low or no energy grant advantage; Product has historically low win rate; No competitor information available,0,,,,,59.86,11.91
Q-05585,W,0.4982999999999999,290000.0,1,290000.0,66000,0.2275862068965517,13.82,4,Gross Margin Rate too high; Low or no energy grant advantage; Product has historically low win rate; No competitor information available,0,,,,,49.83,22.76
Q-05635,B,0.5826,131560.0,1,131560.0,56760,0.431438127090301,33.33,2,Gross Margin Rate too high; No competitor information available,0,,,,,58.26,43.14
Q-05652,A1,0.6039,405000.0,1,405000.0,90000,0.2222222222222222,18.99,4,Gross Margin Rate too high; Price higher than competitors; Low or no energy grant advantage; Product has historically low win rate,1,170000.0,235000.0,138.23529411764704,1.0,60.39,22.22
Q-05666,I1,0.6551,468000.0,1,468000.0,132000,0.282051282051282,22.91,4,Gross Margin Rate too high; Price higher than competitors; Low or no energy grant advantage; Product has historically low win rate,1,240000.0,228000.0,95.0,1.0,65.51,28.21
Q-05674,W,0.1407,173420.0,1,173420.0,66000,0.3805789412985815,13.82,3,Low or no energy grant advantage; Product has historically low win rate; No competitor information available,0,,,,,14.07,38.06
Q-05711,W,0.4982999999999999,290000.0,1,290000.0,66000,0.2275862068965517,13.82,4,Gross Margin Rate too high; Low or no energy grant advantage; Product has historically low win rate; No competitor information available,0,,,,,49.83,22.76
Q-05734,H1,0.4477,366120.0,1,366120.0,222000,0.6063585709603408,29.39,1,Price higher than competitors,1,360000.0,6120.0,1.7000000000000002,1.0,44.77,60.64
Q-05740,Q,0.0173,146900.0,1,146900.0,45000,0.3063308373042886,10.32,3,Price higher than competitors; Low or no energy grant advantage; Product has historically low win rate,1,130000.0,16900.0,13.0,1.0,1.73,30.63
Q-05753,W,0.4861,290000.0,1,290000.0,66000,0.2275862068965517,13.82,3,Low or no energy grant advantage; Product has historically low win rate; No competitor information available,0,,,,,48.61,22.76
Q-05772,H1,0.4585,372600.0,1,372600.0,222000,0.5958132045088567,29.39,1,Price higher than competitors,1,360000.0,12600.0,3.5000000000000004,1.0,45.85,59.58
Q-05773,H1,0.4585,372600.0,1,372600.0,222000,0.5958132045088567,29.39,1,Price higher than competitors,1,360000.0,12600.0,3.5000000000000004,1.0,45.85,59.58
Q-05776,H1,0.4871,393336.0,1,393336.0,222000,0.5644029532003173,29.39,1,Price higher than competitors,1,360000.0,33336.0,9.26,1.0,48.71,56.44
Q-05782,I1,0.3903999999999999,264420.0,1,264420.0,132000,0.4992058089403222,22.91,2,Price higher than competitors; Product has historically low win rate,1,240000.0,24420.0,10.175,1.0,39.04,49.92
Q-05810,W,0.1063,166750.0,1,166750.0,66000,0.3958020989505247,13.82,2,Product has historically low win rate; No competitor information available,0,,,,,10.63,39.58
Q-05813,I1,0.4354,285948.0,1,285948.0,132000,0.461622392882622,22.91,2,Price higher than competitors; Product has historically low win rate,1,240000.0,45948.0,19.145,1.0,43.54,46.16
Q-05821,I1,0.3584,284076.0,1,284076.0,132000,0.4646643855869556,22.91,2,Price higher than competitors; Product has historically low win rate,1,240000.0,44076.0,18.365,1.0,35.84,46.47
Q-05821,J,0.3584,293788.0,1,293788.0,113520,0.3864010783285906,0.0,3,Low or no energy grant advantage; Product has historically low win rate; No competitor information available,0,,,,,35.84,38.64
Q-05824,H1,0.4585,372600.0,1,372600.0,222000,0.5958132045088567,29.39,1,Price higher than competitors,1,360000.0,12600.0,3.5000000000000004,1.0,45.85,59.58
Q-05837,N1,0.3935,738012.5,1,738012.5,375000,0.5081214749072678,34.87,0,No clear rule-based reason,2,830000.0,-91987.5,-11.082831325301203,0.0,39.35,50.81
Q-05842,H1,0.4615999999999999,390000.0,1,390000.0,222000,0.5692307692307692,29.39,1,Price higher than competitors,1,360000.0,30000.0,8.333333333333332,1.0,46.16,56.92
Q-05854,W,0.3146,290000.0,1,290000.0,66000,0.2275862068965517,13.82,3,Low or no energy grant advantage; Product has historically low win rate; No competitor information available,0,,,,,31.46,22.76
