product,failed_quotes,avg_gmr,avg_product_win_rate,high_gmr_count,price_higher_count,low_or_no_grant_count,low_win_rate_product_count,no_competitor_info_count,avg_gmr_pct,avg_product_win_rate_pct
I1,1161,0.4711733850129199,0.22908366533864544,364,1156,347,1161,0,47.12,22.91
H1,836,0.5180705741626794,0.2939189189189189,268,742,254,0,0,51.81,29.39
W,555,0.2426515315315315,0.13819875776397517,54,0,515,555,555,24.27,13.82
Q,304,0.1745953947368421,0.10324483775811209,2,304,304,304,0,17.46,10.32
A1,290,0.40402310344827586,0.18994413407821228,99,290,228,290,0,40.4,18.99
N1,254,0.41991023622047247,0.3487179487179487,70,64,72,0,0,41.99,34.87
J1,56,0.40640000000000004,0.22222222222222218,30,35,56,56,0,40.64,22.22
S,39,0.5069820512820513,0.15217391304347827,19,26,39,39,0,50.7,15.22
O1,33,0.4234818181818182,0.46774193548387094,12,8,9,0,0,42.35,46.77
D1,22,0.45899999999999996,0.2142857142857143,7,22,22,22,0,45.9,21.43
A,20,0.27120500000000003,0.13043478260869565,5,20,20,20,0,27.12,13.04
P1,14,0.3173928571428571,0.2631578947368421,1,0,14,0,14,31.74,26.32
K,13,0.30975384615384616,0.23529411764705882,0,0,5,13,13,30.98,23.53
E1,9,0.44174444444444444,0.4,2,9,9,0,0,44.17,40.0
D,9,0.39261111111111113,0.3076923076923077,5,0,9,0,9,39.26,30.77
J,9,0.40346666666666664,0.0,3,0,7,9,9,40.35,0.0
U,9,0.5691666666666666,0.4375,5,8,8,0,0,56.92,43.75
Y,8,0.3762,0.2727272727272727,2,0,7,0,8,37.62,27.27
T,8,0.4275875,0.38461538461538464,3,3,8,0,0,42.76,38.46
M,7,0.42137142857142856,0.22222222222222218,2,0,5,7,7,42.14,22.22
O,6,0.46016666666666667,0.5,3,0,6,0,6,46.02,50.0
B,6,0.33688333333333337,0.3333333333333333,2,0,1,0,6,33.69,33.33
R,6,0.1973666666666667,0.3333333333333333,0,1,3,0,0,19.74,33.33
Z,5,0.3512,0.4444444444444445,0,0,5,0,5,35.12,44.44
X,5,0.28496,0.5454545454545454,1,0,1,0,5,28.5,54.55
E,4,0.6220249999999999,0.2,4,0,4,4,4,62.2,20.0
C,4,0.47212499999999996,0.6,1,0,4,0,4,47.21,60.0
F1,4,0.57475,0.3333333333333333,3,4,4,0,0,57.48,33.33
Q1,4,0.30579999999999996,0.6,0,0,4,0,4,30.58,60.0
M1,4,0.5503,0.3333333333333333,4,4,4,0,0,55.03,33.33
K1,3,0.44383333333333336,0.0,1,2,3,3,0,44.38,0.0
N,3,0.34336666666666665,0.6999999999999998,1,0,3,0,3,34.34,70.0
P,2,0.27819999999999995,0.3333333333333333,0,0,2,0,2,27.82,33.33
I,2,0.33949999999999997,0.7142857142857143,0,0,2,0,2,33.95,71.43
F,2,0.5726500000000001,0.3333333333333333,2,0,2,0,2,57.27,33.33
V,2,0.6146,0.6666666666666666,2,2,2,0,0,61.46,66.67
L1,2,0.41225,0.5,1,2,2,0,0,41.22,50.0
B1,1,0.6623,0.0,1,0,1,1,1,66.23,0.0
H,1,0.5708,0.0,1,0,0,1,1,57.08,0.0
