quote_id,product,gross_margin_rate,unit_price,qty,subtotal_price,energy_grant_amount,grant_ratio_to_subtotal,competitor_count_available,avg_competitor_price,price_gap_avg_competitor_pct,estimated_gross_profit,pricing_anomaly_score_0_100,anomaly_direction,top_local_diffi_features,local_diffi_business_explanation,success,gross_margin_rate_pct,grant_ratio_to_subtotal_pct
Q-11707,E1,0.0973,4600000.0,1,4600000.0,960000,0.208695652173913,1,2000000.0,130.0,447579.99999999953,100.0,Conversion risk review,product (1.7304); is_compe_c (0.1416); estimated_cost (0.1372); price_gap_min_competitor (0.1239); subtotal_price (0.1106),"product category contributes to unusual pricing pattern (E1); is_compe_c contributes to anomaly; estimated_cost is unusually high (4,152,420.0000, above P90); price_gap_min_competitor contributes to anomaly; subtotal price is unusually high (4,600,000, above P90).",1,9.73,20.87
Q-11708,E1,0.0933,4600000.0,1,4600000.0,960000,0.208695652173913,1,2000000.0,130.0,429179.99999999953,99.87,Conversion risk review,product (1.7280); is_compe_c (0.1416); estimated_cost (0.1360); price_gap_min_competitor (0.1239); subtotal_price (0.1106),"product category contributes to unusual pricing pattern (E1); is_compe_c contributes to anomaly; estimated_cost is unusually high (4,170,820.0000, above P90); price_gap_min_competitor contributes to anomaly; subtotal price is unusually high (4,600,000, above P90).",1,9.33,20.87
Q-12530,D1,0.6179,4600000.0,1,4600000.0,960000,0.208695652173913,1,2000000.0,130.0,2842340.0,99.46,High conversion risk review,product (1.5866); is_compe_c (0.1420); price_gap_min_competitor (0.1357); unit_price (0.1066); is_compe_a (0.1061),"product category contributes to unusual pricing pattern (D1); is_compe_c contributes to anomaly; price_gap_min_competitor contributes to anomaly; unit price is unusually high (4,600,000, above P90); is_compe_a contributes to anomaly.",0,61.79,20.87
Q-12532,D1,0.6181,4600000.0,1,4600000.0,960000,0.208695652173913,1,2000000.0,130.0,2843260.0,99.46,High conversion risk review,product (1.5866); is_compe_c (0.1420); price_gap_min_competitor (0.1357); unit_price (0.1066); is_compe_a (0.1061),"product category contributes to unusual pricing pattern (D1); is_compe_c contributes to anomaly; price_gap_min_competitor contributes to anomaly; unit price is unusually high (4,600,000, above P90); is_compe_a contributes to anomaly.",0,61.81,20.87
Q-18203,D1,0.6181,4600000.0,1,4600000.0,960000,0.208695652173913,1,2000000.0,130.0,2843260.0,99.46,High conversion risk review,product (1.5866); is_compe_c (0.1420); price_gap_min_competitor (0.1357); unit_price (0.1066); is_compe_a (0.1061),"product category contributes to unusual pricing pattern (D1); is_compe_c contributes to anomaly; price_gap_min_competitor contributes to anomaly; unit price is unusually high (4,600,000, above P90); is_compe_a contributes to anomaly.",0,61.81,20.87
Q-18581,D1,0.6181,4600000.0,1,4600000.0,960000,0.208695652173913,1,2000000.0,130.0,2843260.0,99.46,High conversion risk review,product (1.5866); is_compe_c (0.1420); price_gap_min_competitor (0.1357); unit_price (0.1066); is_compe_a (0.1061),"product category contributes to unusual pricing pattern (D1); is_compe_c contributes to anomaly; price_gap_min_competitor contributes to anomaly; unit price is unusually high (4,600,000, above P90); is_compe_a contributes to anomaly.",0,61.81,20.87
Q-30348,D1,0.6181,4600000.0,1,4600000.0,960000,0.208695652173913,1,2000000.0,130.0,2843260.0,99.46,High conversion risk review,product (1.5866); is_compe_c (0.1420); price_gap_min_competitor (0.1357); unit_price (0.1066); is_compe_a (0.1061),"product category contributes to unusual pricing pattern (D1); is_compe_c contributes to anomaly; price_gap_min_competitor contributes to anomaly; unit price is unusually high (4,600,000, above P90); is_compe_a contributes to anomaly.",0,61.81,20.87
Q-28185,D1,0.6181,4600000.0,1,4600000.0,960000,0.208695652173913,1,2000000.0,130.0,2843260.0,99.46,High conversion risk review,product (1.5866); is_compe_c (0.1420); price_gap_min_competitor (0.1357); unit_price (0.1066); is_compe_a (0.1061),"product category contributes to unusual pricing pattern (D1); is_compe_c contributes to anomaly; price_gap_min_competitor contributes to anomaly; unit price is unusually high (4,600,000, above P90); is_compe_a contributes to anomaly.",0,61.81,20.87
Q-37235,F1,0.6414,4600000.0,1,4600000.0,960000,0.208695652173913,1,2000000.0,130.0,2950440.0,97.51,High conversion risk review,product (1.6351); is_compe_c (0.1473); price_gap_min_competitor (0.1324); price_gap_avg_competitor_pct (0.1067); subtotal_price (0.1058),"product category contributes to unusual pricing pattern (F1); is_compe_c contributes to anomaly; price_gap_min_competitor contributes to anomaly; price is unusually above average competitor (130.0%, above P90); subtotal price is unusually high (4,600,000, above P90).",0,64.14,20.87
Q-21423,F1,0.6414,4600000.0,1,4600000.0,960000,0.208695652173913,1,2000000.0,130.0,2950440.0,97.51,High conversion risk review,product (1.6351); is_compe_c (0.1473); price_gap_min_competitor (0.1324); price_gap_avg_competitor_pct (0.1067); subtotal_price (0.1058),"product category contributes to unusual pricing pattern (F1); is_compe_c contributes to anomaly; price_gap_min_competitor contributes to anomaly; price is unusually above average competitor (130.0%, above P90); subtotal price is unusually high (4,600,000, above P90).",0,64.14,20.87
