quote_id,product,kw,unit_price,qty,subtotal_price,gross_margin_rate,energy_grant_amount,grant_ratio_to_subtotal,competitor_count_available,avg_competitor_price,price_gap_avg_competitor_pct,estimated_gross_profit,is_anomaly,pricing_anomaly_score_0_100,anomaly_direction,anomaly_explanation,success,gross_margin_rate_pct,grant_ratio_to_subtotal_pct
Q-00114,W,11.0,136000.0,1,136000.0,0.0712,66000,0.4852941176470588,0,,,9683.200000000012,0,23.43,Normal pricing pattern,No anomaly detected.,1,7.12,48.53
Q-00119,H1,37.0,290000.0,2,580000.0,0.3079,222000,0.3827586206896551,1,360000.0,-19.44,178582.00000000006,0,22.6,Normal pricing pattern,No anomaly detected.,1,30.79,38.28
Q-00161,Y,150.0,2379000.0,1,2379000.0,0.4224,720000,0.3026481715006305,0,,,1004889.6,0,49.16,Normal pricing pattern,No anomaly detected.,0,42.24,30.26
Q-00167,O1,75.0,775970.0,1,775970.0,0.4117,375000,0.4832661056484142,2,830000.0,-6.51,319466.849,0,46.51,Normal pricing pattern,No anomaly detected.,1,41.17,48.33
Q-00214,I1,22.0,300000.0,1,300000.0,0.6787000000000001,132000,0.44,1,240000.0,25.0,203610.00000000003,0,8.77,Normal pricing pattern,No anomaly detected.,1,67.87,44.0
Q-00473,H1,37.0,400000.0,1,400000.0,0.5475,222000,0.555,1,360000.0,11.11,219000.0,0,8.11,Normal pricing pattern,No anomaly detected.,1,54.75,55.5
Q-00517,I1,22.0,228964.0,1,228964.0,0.2949,132000,0.576509844342342,1,240000.0,-4.6,67521.48359999998,0,17.82,Normal pricing pattern,No anomaly detected.,1,29.49,57.65
Q-00521,N1,75.0,1283500.0,1,1283500.0,0.6515000000000001,375000,0.292169848071679,2,830000.0,54.64,836200.2500000001,1,55.2,High conversion risk review,very high GMR (65.2%); price is 54.6% above average competitor; low grant ratio (29.2%).,0,65.15,29.22
Q-00525,H1,37.0,290000.0,2,580000.0,0.3983,222000,0.3827586206896551,1,360000.0,-19.44,231014.0,0,23.92,Normal pricing pattern,No anomaly detected.,1,39.83,38.28
Q-00525,I1,22.0,270000.0,1,270000.0,0.3983,132000,0.4888888888888889,1,240000.0,12.5,107541.0,0,0.14,Normal pricing pattern,No anomaly detected.,1,39.83,48.89
Q-01157,Z,150.0,1703700.0,1,1703700.0,0.1949,720000,0.4226096143687269,0,,,332051.1299999999,0,41.95,Normal pricing pattern,No anomaly detected.,1,19.49,42.26
Q-01180,O1,75.0,775970.0,1,775970.0,0.4117,375000,0.4832661056484142,2,830000.0,-6.51,319466.849,0,46.51,Normal pricing pattern,No anomaly detected.,1,41.17,48.33
Q-01291,K,37.0,577800.0,1,577800.0,0.4647,190920,0.3304257528556594,0,,,268503.66,0,19.04,Normal pricing pattern,No anomaly detected.,0,46.47,33.04
Q-01366,N1,75.0,845960.0,2,1691920.0,0.3084,375000,0.2216416851860608,2,830000.0,1.92,521788.128,1,55.32,Conversion risk review,price is 1.9% above average competitor; low grant ratio (22.2%).,1,30.84,22.16
Q-01420,I1,22.0,273100.0,1,273100.0,0.4127,132000,0.4833394361039912,1,240000.0,13.79,112708.37000000002,0,0.29,Normal pricing pattern,No anomaly detected.,1,41.27,48.33
Q-01475,W,11.0,168000.0,1,168000.0,0.2892,66000,0.3928571428571428,0,,,48585.600000000006,0,15.75,Normal pricing pattern,No anomaly detected.,1,28.92,39.29
Q-01746,N1,75.0,690000.0,1,690000.0,0.3767,375000,0.5434782608695652,2,830000.0,-16.87,259923.0,0,31.21,Normal pricing pattern,No anomaly detected.,1,37.67,54.35
Q-01774,N1,75.0,658000.0,1,658000.0,0.3172,375000,0.5699088145896657,2,830000.0,-20.72,208717.6,0,29.78,Normal pricing pattern,No anomaly detected.,1,31.72,56.99
Q-01775,H1,37.0,391300.0,2,782600.0,0.4711,222000,0.2836698185535395,1,360000.0,8.69,368682.86,0,17.41,Normal pricing pattern,No anomaly detected.,0,47.11,28.37
Q-01922,H1,37.0,570000.0,1,570000.0,0.5455,222000,0.3894736842105263,1,360000.0,58.33,310935.0,0,12.36,Normal pricing pattern,No anomaly detected.,1,54.55,38.95
Q-02039,N1,75.0,669000.0,1,669000.0,0.4209,375000,0.5605381165919282,2,830000.0,-19.4,281582.10000000003,0,32.11,Normal pricing pattern,No anomaly detected.,1,42.09,56.05
Q-02113,N1,75.0,718000.0,2,1436000.0,0.3393,375000,0.261142061281337,2,830000.0,-13.49,487234.79999999993,0,49.54,Normal pricing pattern,No anomaly detected.,1,33.93,26.11
Q-02113,N1,75.0,718000.0,2,1436000.0,0.3393,375000,0.261142061281337,2,830000.0,-13.49,487234.79999999993,1,54.32,Unusual pricing pattern review,price is 13.5% below average competitor; low grant ratio (26.1%).,1,33.93,26.11
Q-02125,H1,37.0,346900.0,1,346900.0,0.4425,222000,0.6399538771980398,1,360000.0,-3.64,153503.25,0,17.3,Normal pricing pattern,No anomaly detected.,1,44.25,64.0
Q-02132,I1,22.0,244500.0,2,489000.0,0.6627,132000,0.2699386503067484,1,240000.0,1.88,324060.3,0,12.8,Normal pricing pattern,No anomaly detected.,1,66.27,26.99
Q-02428,O,75.0,659000.0,1,659000.0,0.4135,322500,0.4893778452200303,0,,,272496.5,0,31.24,Normal pricing pattern,No anomaly detected.,1,41.35,48.94
Q-02428,S,110.0,1141900.0,1,1141900.0,0.4135,528000,0.4623872493213066,1,1880000.0,-39.26,472175.65,1,72.96,Unusual pricing pattern review,price is 39.3% below average competitor.,1,41.35,46.24
Q-02534,N1,75.0,793000.0,2,1586000.0,0.4535,375000,0.2364438839848676,2,830000.0,-4.46,719251.0,1,55.65,Unusual pricing pattern review,price is 4.5% below average competitor; low grant ratio (23.6%).,1,45.35,23.64
Q-02733,S,110.0,1222400.0,3,3667200.0,0.2164,528000,0.143979057591623,1,1880000.0,-34.98,793582.0800000001,1,88.34,Unusual pricing pattern review,price is 35.0% below average competitor; low grant ratio (14.4%).,0,21.64,14.4
Q-02784,T,110.0,992000.0,1,992000.0,0.0393,528000,0.532258064516129,1,1880000.0,-47.23,38985.59999999998,1,69.99,Unusual pricing pattern review,price is 47.2% below average competitor.,1,3.93,53.23
Q-02916,K,37.0,154000.0,1,154000.0,0.2826,190920,1.2397402597402598,0,,,43520.4,0,25.95,Normal pricing pattern,No anomaly detected.,1,28.26,123.97
Q-02941,I1,22.0,236333.0,1,236333.0,0.3364999999999999,132000,0.5585339330520918,1,240000.0,-1.53,79526.0545,0,17.7,Normal pricing pattern,No anomaly detected.,1,33.65,55.85
Q-03099,W,11.0,250000.0,1,250000.0,0.5484,66000,0.264,0,,,137100.0,0,19.65,Normal pricing pattern,No anomaly detected.,1,54.84,26.4
Q-03110,N1,75.0,718000.0,1,718000.0,0.3922,375000,0.5222841225626741,2,830000.0,-13.49,281599.6,0,34.16,Normal pricing pattern,No anomaly detected.,1,39.22,52.23
Q-03273,I1,22.0,273762.0,2,547524.0,0.5156000000000001,132000,0.2410853222872422,1,240000.0,14.07,282303.37440000003,0,10.61,Normal pricing pattern,No anomaly detected.,1,51.56,24.11
