quote_id,product,gross_margin_rate,unit_price,qty,subtotal_price,energy_grant_amount,grant_ratio_to_subtotal,competitor_count_available,avg_competitor_price,price_gap_avg_competitor_pct,estimated_gross_profit,conversion_risk_score,conversion_risk_level,profitability_risk_score,profitability_risk_level,quote_review_flag,conversion_review_reasons,profitability_review_reasons,review_explanation,success,gross_margin_rate_pct,grant_ratio_to_subtotal_pct
Q-00114,W,0.0712,136000.0,1,136000.0,66000,0.4852941176470588,0,,,9683.200000000012,18.18,Low,27.27,Low,No major pricing risk,Product has historically low win rate; No competitor information available,Very low GMR; Low GMR,product historical win rate is 13.8%; no competitor price information is available.,1,7.12,48.53
Q-00119,H1,0.3079,290000.0,2,580000.0,222000,0.3827586206896551,1,360000.0,-19.44,178582.00000000006,13.64,Low,9.09,Low,No major pricing risk,Low or no energy grant advantage,Price lower than average competitor,grant ratio is 38.3%.,1,30.79,38.28
Q-00161,Y,0.4224,2379000.0,1,2379000.0,720000,0.3026481715006305,0,,,1004889.6,22.73,Low,0.0,Low,No major pricing risk,Low or no energy grant advantage; No competitor information available,No major flag,grant ratio is 30.3%; no competitor price information is available.,0,42.24,30.26
Q-00167,O1,0.4117,775970.0,1,775970.0,375000,0.4832661056484142,2,830000.0,-6.51,319466.849,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,41.17,48.33
Q-00214,I1,0.6787000000000001,300000.0,1,300000.0,132000,0.44,1,240000.0,25.0,203610.00000000003,59.09,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Very high GMR; Price higher than average competitor; Product has historically low win rate,No major flag,price is 25.0% above average competitor; GMR is 67.9%; product historical win rate is 22.9%.,1,67.87,44.0
Q-00473,H1,0.5475,400000.0,1,400000.0,222000,0.555,1,360000.0,11.11,219000.0,36.36,Medium,0.0,Low,Monitor: medium pricing risk,High GMR; Price higher than average competitor,No major flag,price is 11.1% above average competitor; GMR is 54.8%.,1,54.75,55.5
Q-00517,I1,0.2949,228964.0,1,228964.0,132000,0.576509844342342,1,240000.0,-4.6,67521.48359999998,9.09,Low,9.09,Low,No major pricing risk,Product has historically low win rate,Price lower than average competitor,product historical win rate is 22.9%.,1,29.49,57.65
Q-00521,N1,0.6515000000000001,1283500.0,1,1283500.0,375000,0.292169848071679,2,830000.0,54.64,836200.2500000001,81.82,High,0.0,Low,Review required: high conversion risk,High GMR; Very high GMR; Price higher than average competitor; Price much higher than average competitor; Low or no energy grant advantage,No major flag,price is 54.6% above average competitor; GMR is 65.2%; grant ratio is 29.2%.,0,65.15,29.22
Q-00525,H1,0.3983,290000.0,2,580000.0,222000,0.3827586206896551,1,360000.0,-19.44,231014.0,13.64,Low,9.09,Low,No major pricing risk,Low or no energy grant advantage,Price lower than average competitor,grant ratio is 38.3%.,1,39.83,38.28
Q-00525,I1,0.3983,270000.0,1,270000.0,132000,0.4888888888888889,1,240000.0,12.5,107541.0,31.82,Medium,0.0,Low,Monitor: medium pricing risk,Price higher than average competitor; Product has historically low win rate,No major flag,price is 12.5% above average competitor; product historical win rate is 22.9%.,1,39.83,48.89
Q-01157,Z,0.1949,1703700.0,1,1703700.0,720000,0.4226096143687269,0,,,332051.1299999999,9.09,Low,9.09,Low,No major pricing risk,No competitor information available,Low GMR,no competitor price information is available.,1,19.49,42.26
Q-01180,O1,0.4117,775970.0,1,775970.0,375000,0.4832661056484142,2,830000.0,-6.51,319466.849,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,41.17,48.33
Q-01291,K,0.4647,577800.0,1,577800.0,190920,0.3304257528556594,0,,,268503.66,31.82,Medium,0.0,Low,Monitor: medium pricing risk,Low or no energy grant advantage; Product has historically low win rate; No competitor information available,No major flag,grant ratio is 33.0%; product historical win rate is 23.5%; no competitor price information is available.,0,46.47,33.04
Q-01366,N1,0.3084,845960.0,2,1691920.0,375000,0.2216416851860608,2,830000.0,1.92,521788.128,36.36,Medium,0.0,Low,Monitor: medium pricing risk,Price higher than average competitor; Low or no energy grant advantage,No major flag,price is 1.9% above average competitor; grant ratio is 22.2%.,1,30.84,22.16
Q-01420,I1,0.4127,273100.0,1,273100.0,132000,0.4833394361039912,1,240000.0,13.79,112708.37000000002,31.82,Medium,0.0,Low,Monitor: medium pricing risk,Price higher than average competitor; Product has historically low win rate,No major flag,price is 13.8% above average competitor; product historical win rate is 22.9%.,1,41.27,48.33
Q-01475,W,0.2892,168000.0,1,168000.0,66000,0.3928571428571428,0,,,48585.600000000006,18.18,Low,0.0,Low,No major pricing risk,Product has historically low win rate; No competitor information available,No major flag,product historical win rate is 13.8%; no competitor price information is available.,1,28.92,39.29
Q-01746,N1,0.3767,690000.0,1,690000.0,375000,0.5434782608695652,2,830000.0,-16.87,259923.0,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,37.67,54.35
Q-01774,N1,0.3172,658000.0,1,658000.0,375000,0.5699088145896657,2,830000.0,-20.72,208717.6,0.0,Low,9.09,Low,No major pricing risk,No major flag,Price lower than average competitor,No major pricing risk detected.,1,31.72,56.99
