Quote ID,Product,Kw,Unit Price,Qty,Subtotal Price,Gross Margin Rate ,"Convert to Order (0:Success, 1:Fail)",Energy grant amount,Competitor A,Competitor B,Competitor C
Q-00114,W,11.0,136000.0,1,136000.0,0.0712,0,66000,,,
Q-00119,H1,37.0,290000.0,2,580000.0,0.3079,0,222000,360000.0,,
Q-00161,Y,150.0,2379000.0,1,2379000.0,0.4224,1,720000,,,
Q-00214,I1,22.0,300000.0,1,300000.0,0.6787000000000001,0,132000,240000.0,,
Q-00517,I1,22.0,228964.0,1,228964.0,0.2949,0,132000,240000.0,,
Q-00521,N1,75.0,1283500.0,1,1283500.0,0.6515000000000001,1,375000,760000.0,900000.0,
Q-00525,I1,22.0,270000.0,1,270000.0,0.3983,0,132000,240000.0,,
Q-00525,H1,37.0,290000.0,2,580000.0,0.3983,0,222000,360000.0,,
Q-00167,O1,75.0,775970.0,1,775970.0,0.4117,0,375000,760000.0,900000.0,
Q-01157,Z,150.0,1703700.0,1,1703700.0,0.1949,0,720000,,,
Q-01180,O1,75.0,775970.0,1,775970.0,0.4117,0,375000,760000.0,900000.0,
Q-00473,H1,37.0,400000.0,1,400000.0,0.5475,0,222000,360000.0,,
Q-01291,K,37.0,577800.0,1,577800.0,0.4647,1,190920,,,
Q-01366,N1,75.0,845960.0,2,1691920.0,0.3084,0,375000,760000.0,900000.0,
Q-01420,I1,22.0,273100.0,1,273100.0,0.4127,0,132000,240000.0,,
Q-01475,W,11.0,168000.0,1,168000.0,0.2892,0,66000,,,
Q-01746,N1,75.0,690000.0,1,690000.0,0.37670000000000003,0,375000,760000.0,900000.0,
Q-01774,N1,75.0,658000.0,1,658000.0,0.3172,0,375000,760000.0,900000.0,
Q-01775,H1,37.0,391300.0,2,782600.0,0.4711,1,222000,360000.0,,
Q-02039,N1,75.0,669000.0,1,669000.0,0.42090000000000005,0,375000,760000.0,900000.0,
Q-02113,N1,75.0,718000.0,2,1436000.0,0.3393,0,375000,760000.0,900000.0,
Q-01366,N1,75.0,683400.0,2,1366800.0,0.3084,0,375000,760000.0,900000.0,
Q-02125,H1,37.0,346900.0,1,346900.0,0.4425,0,222000,360000.0,,
Q-02132,I1,22.0,244500.0,2,489000.0,0.6627,0,132000,240000.0,,
Q-01922,H1,37.0,570000.0,1,570000.0,0.5455,0,222000,360000.0,,
Q-02428,S,110.0,1141900.0,1,1141900.0,0.41350000000000003,0,528000,1880000.0,,
Q-02428,O,75.0,659000.0,1,659000.0,0.41350000000000003,0,322500,,,
Q-02534,N1,75.0,793000.0,2,1586000.0,0.4535,0,375000,760000.0,900000.0,
Q-02733,S,110.0,1222400.0,3,3667200.0,0.2164,1,528000,1880000.0,,
Q-02784,T,110.0,992000.0,1,992000.0,0.0393,0,528000,1880000.0,,
Q-02916,K,37.0,154000.0,1,154000.0,0.2826,0,190920,,,
Q-03099,W,11.0,250000.0,1,250000.0,0.5484,0,66000,,,
Q-03110,N1,75.0,718000.0,1,718000.0,0.3922,0,375000,760000.0,900000.0,
Q-03409,N1,75.0,1283500.0,1,1283500.0,0.6487,1,375000,760000.0,900000.0,
Q-03409,N1,75.0,1283500.0,1,1283500.0,0.6487,1,375000,760000.0,900000.0,
Q-03418,O1,75.0,574900.0,2,1149800.0,0.2054,0,375000,760000.0,900000.0,
Q-03437,A1,15.0,275000.0,1,275000.0,0.37,0,90000,170000.0,,
Q-02941,I1,22.0,236333.0,1,236333.0,0.33649999999999997,0,132000,240000.0,,
Q-03440,I1,22.0,260000.0,1,260000.0,0.37,0,132000,240000.0,,
Q-03581,H1,37.0,359000.0,1,359000.0,0.6917,0,222000,360000.0,,
Q-03578,N1,75.0,607600.0,2,1215200.0,0.5173,0,375000,760000.0,900000.0,
Q-03273,I1,22.0,273762.0,2,547524.0,0.5156000000000001,0,132000,240000.0,,
Q-03626,H1,37.0,342000.0,2,684000.0,0.6524,0,222000,360000.0,,
Q-03631,N1,75.0,649000.0,1,649000.0,0.3954,0,375000,760000.0,900000.0,
Q-03631,H1,37.0,360000.0,1,360000.0,0.3954,0,222000,360000.0,,
Q-03731,H1,37.0,360000.0,1,360000.0,0.4531,0,222000,360000.0,,
Q-03626,H1,37.0,352000.0,2,704000.0,0.6524,0,222000,360000.0,,
Q-04030,N1,75.0,585700.0,1,585700.0,0.4004,0,375000,760000.0,900000.0,
Q-04053,A1,15.0,301000.0,1,301000.0,0.3326,0,90000,170000.0,,
Q-04090,W,11.0,160000.0,1,160000.0,0.094,0,66000,,,
Q-04111,H1,37.0,530000.0,2,1060000.0,0.6193,0,222000,360000.0,,
Q-04158,N1,75.0,675780.0,2,1351560.0,0.3271,0,375000,760000.0,900000.0,
Q-04281,O1,75.0,720104.0,1,720104.0,0.36369999999999997,0,375000,760000.0,900000.0,
Q-04365,N1,75.0,708524.0,2,1417048.0,0.4164,0,375000,760000.0,900000.0,
Q-02113,N1,75.0,718000.0,2,1436000.0,0.3393,0,375000,760000.0,900000.0,
Q-04430,I1,22.0,252000.0,1,252000.0,0.3594,0,132000,240000.0,,
Q-03387,H1,37.0,530000.0,2,1060000.0,0.6193,0,222000,360000.0,,
Q-04530,N1,75.0,550232.0,2,1100464.0,0.2335,0,375000,760000.0,900000.0,
Q-04562,N1,75.0,504092.0,1,504092.0,0.2988,0,375000,760000.0,900000.0,
Q-02428,S,110.0,1084000.0,1,1084000.0,0.41350000000000003,0,528000,1880000.0,,
Q-02428,O,75.0,614000.0,1,614000.0,0.41350000000000003,0,322500,,,
Q-04582,S,110.0,1750000.0,1,1750000.0,0.41340000000000005,0,528000,1880000.0,,
Q-04608,H1,37.0,325740.0,2,651480.0,0.42719999999999997,0,222000,360000.0,,
Q-04712,N,75.0,884330.0,1,884330.0,0.4152,0,322500,,,
Q-04715,I1,22.0,234000.0,1,234000.0,0.38159999999999994,0,132000,240000.0,,
Q-04716,N1,75.0,769000.0,1,769000.0,0.4648,0,375000,760000.0,900000.0,
Q-04802,N1,75.0,756000.0,1,756000.0,0.37920000000000004,0,375000,760000.0,900000.0,
Q-04883,H1,37.0,352250.0,1,352250.0,0.4216,0,222000,360000.0,,
Q-04914,W,11.0,206400.0,1,206400.0,0.4947,0,66000,,,
Q-04925,N1,75.0,760000.0,1,760000.0,0.31980000000000003,0,375000,760000.0,900000.0,
Q-04962,O,75.0,947000.0,1,947000.0,0.6940000000000001,0,322500,,,
Q-04976,W,11.0,172000.0,1,172000.0,0.1407,0,66000,,,
Q-05083,A1,15.0,240000.0,1,240000.0,0.3619,0,90000,170000.0,,
Q-05292,I1,22.0,262000.0,1,262000.0,0.35619999999999996,0,132000,240000.0,,
Q-05361,N1,75.0,749000.0,1,749000.0,0.5954999999999999,0,375000,760000.0,900000.0,
Q-05382,N1,75.0,735500.0,2,1471000.0,0.3538,0,375000,760000.0,900000.0,
Q-05501,S,110.0,1723600.0,1,1723600.0,0.4086,0,528000,1880000.0,,
Q-05535,I1,22.0,405000.0,2,810000.0,0.6770999999999999,0,132000,240000.0,,
Q-05576,M,75.0,1252700.0,1,1252700.0,0.5687,1,322500,,,
Q-05577,E,15.0,408100.0,1,408100.0,0.5986,1,48600,,,
Q-05577,E,15.0,408100.0,1,408100.0,0.5986,1,48600,,,
Q-05585,W,11.0,290000.0,1,290000.0,0.49829999999999997,1,66000,,,
Q-05635,B,11.0,131560.0,1,131560.0,0.5826,1,56760,,,
Q-05655,W,11.0,180000.0,1,180000.0,0.1721,0,66000,,,
Q-05652,A1,15.0,405000.0,1,405000.0,0.6039,1,90000,170000.0,,
Q-05666,I1,22.0,468000.0,1,468000.0,0.6551,1,132000,240000.0,,
Q-05674,W,11.0,173420.0,1,173420.0,0.1407,1,66000,,,
Q-05703,W,11.0,170000.0,1,170000.0,0.1441,0,66000,,,
Q-05706,Q,7.5,145340.0,1,145340.0,-0.0254,0,45000,130000.0,,
Q-05734,H1,37.0,366120.0,1,366120.0,0.44770000000000004,1,222000,360000.0,,
Q-05707,H1,37.0,422000.0,1,422000.0,0.5643,0,222000,360000.0,,
Q-05740,Q,7.5,146900.0,1,146900.0,0.0173,1,45000,130000.0,,
Q-05753,W,11.0,290000.0,1,290000.0,0.4861,1,66000,,,
Q-05772,H1,37.0,372600.0,1,372600.0,0.4585,1,222000,360000.0,,
Q-05773,H1,37.0,372600.0,1,372600.0,0.4585,1,222000,360000.0,,
Q-05711,W,11.0,290000.0,1,290000.0,0.49829999999999997,1,66000,,,
Q-05782,I1,22.0,264420.0,1,264420.0,0.39039999999999997,1,132000,240000.0,,
Q-05651,H1,37.0,334368.0,1,334368.0,0.39659999999999995,0,222000,360000.0,,
Q-05809,H1,37.0,334368.0,1,334368.0,0.39659999999999995,0,222000,360000.0,,
Q-05810,W,11.0,166750.0,1,166750.0,0.1063,1,66000,,,
Q-05813,I1,22.0,285948.0,1,285948.0,0.4354,1,132000,240000.0,,
Q-05776,H1,37.0,393336.0,1,393336.0,0.48710000000000003,1,222000,360000.0,,
Q-05821,I1,22.0,284076.0,1,284076.0,0.35840000000000005,1,132000,240000.0,,
Q-05821,J,22.0,293788.0,1,293788.0,0.35840000000000005,1,113520,,,
Q-05824,H1,37.0,372600.0,1,372600.0,0.4585,1,222000,360000.0,,
Q-05837,N1,75.0,738012.5,1,738012.5,0.3935,1,375000,760000.0,900000.0,
Q-05838,N1,75.0,940500.0,1,940500.0,0.48109999999999997,0,375000,760000.0,900000.0,
Q-05842,H1,37.0,390000.0,1,390000.0,0.46159999999999995,1,222000,360000.0,,
Q-05846,I1,22.0,213548.4,1,213548.4,0.244,0,132000,240000.0,,
Q-05850,I1,22.0,285948.0,1,285948.0,0.46740000000000004,0,132000,240000.0,,
Q-05850,H1,37.0,395928.0,1,395928.0,0.46740000000000004,0,222000,360000.0,,
Q-05854,W,11.0,173420.0,1,173420.0,0.3146,1,66000,,,
Q-05854,W,11.0,173420.0,1,173420.0,0.3146,1,66000,,,
Q-05854,W,11.0,290000.0,1,290000.0,0.3146,1,66000,,,
Q-05857,W,11.0,173420.0,1,173420.0,0.161,1,66000,,,
Q-05861,W,11.0,173420.0,1,173420.0,0.161,1,66000,,,
Q-05870,H1,37.0,391392.0,1,391392.0,0.48450000000000004,1,222000,360000.0,,
Q-05881,A1,15.0,244620.0,1,244620.0,0.3443,1,90000,170000.0,,
Q-05882,I1,22.0,264420.0,1,264420.0,0.3895,1,132000,240000.0,,
Q-05879,I1,22.0,265700.0,1,265700.0,0.3639,1,132000,240000.0,,
Q-05887,H1,37.0,366120.0,1,366120.0,0.44770000000000004,1,222000,360000.0,,
Q-05894,H1,37.0,387504.0,1,387504.0,0.4782,1,222000,360000.0,,
Q-05844,H1,37.0,343699.2,1,343699.2,0.413,0,222000,360000.0,,
Q-05895,H1,37.0,372600.0,1,372600.0,0.4585,1,222000,360000.0,,
Q-05904,I1,22.0,279864.0,1,279864.0,0.424,1,132000,240000.0,,
Q-05906,H1,37.0,387504.0,1,387504.0,0.4782,1,222000,360000.0,,
Q-05868,N1,75.0,1283500.0,1,1283500.0,0.6515000000000001,1,375000,760000.0,900000.0,
Q-05930,H1,37.0,387504.0,1,387504.0,0.4782,1,222000,360000.0,,
Q-05941,H1,37.0,387504.0,1,387504.0,0.4782,1,222000,360000.0,,
Q-05932,C,110.0,1509859.0,1,1509859.0,0.2682,1,451000,,,
Q-05946,H1,37.0,648000.0,1,648000.0,0.6887000000000001,1,222000,360000.0,,
Q-05939,I1,22.0,264420.0,1,264420.0,0.3895,1,132000,240000.0,,
Q-05939,I1,22.0,264420.0,1,264420.0,0.3895,1,132000,240000.0,,
Q-05940,H1,37.0,366120.0,1,366120.0,0.449,1,222000,360000.0,,
Q-05952,H1,37.0,391392.0,2,782784.0,0.48340000000000005,1,222000,360000.0,,
Q-05978,I1,22.0,292032.0,1,292032.0,0.44799999999999995,1,132000,240000.0,,
Q-05984,W,11.0,290000.0,1,290000.0,0.4861,1,66000,,,
Q-05989,A1,15.0,247455.0,1,247455.0,0.3193,1,90000,170000.0,,
Q-05931,H1,37.0,366120.0,2,732240.0,0.44770000000000004,1,222000,360000.0,,
Q-05993,H1,37.0,366120.0,1,366120.0,0.4048,1,222000,360000.0,,
Q-05993,N1,75.0,725177.5,1,725177.5,0.4048,1,375000,760000.0,900000.0,
Q-05998,Q,7.5,155480.0,1,155480.0,0.07150000000000001,1,45000,130000.0,,
Q-05999,I1,22.0,282672.0,1,282672.0,0.4289,1,132000,240000.0,,
Q-06007,A1,15.0,252720.0,1,252720.0,0.37020000000000003,1,90000,170000.0,,
Q-06017,W,11.0,163850.0,1,163850.0,0.11199999999999999,1,66000,,,
Q-06020,H1,37.0,387504.0,1,387504.0,0.4782,1,222000,360000.0,,
Q-06023,N1,75.0,767533.0,1,767533.0,0.4172,1,375000,760000.0,900000.0,
