iter	Logloss
0	0.6614842765
1	0.6309264536
2	0.6103689814
3	0.5832899298
4	0.5612189467
5	0.5421479825
6	0.5305098865
7	0.5109608987
8	0.5016589447
9	0.4859038551
10	0.4714575989
11	0.4616385328
12	0.4548363561
13	0.4454435997
14	0.4358398131
15	0.4302460838
16	0.4219871906
17	0.4132760382
18	0.4108424153
19	0.4057297207
20	0.4021955037
21	0.3987217108
22	0.3949837555
23	0.3899968542
24	0.3855228643
25	0.3824540611
26	0.3793054975
27	0.3759279208
28	0.3738673292
29	0.3719571629
30	0.3687705666
31	0.3662948266
32	0.3647706817
33	0.3621720368
34	0.3605047278
35	0.3585940874
36	0.3562530901
37	0.3529772388
38	0.3511799596
39	0.3493898985
40	0.3475618719
41	0.346107479
42	0.3449055479
43	0.3417316235
44	0.3404101782
45	0.3383754064
46	0.3378164546
47	0.3367405008
48	0.3348188877
49	0.3328657779
50	0.3306248261
51	0.3292777309
52	0.327950427
53	0.3272847079
54	0.3257862098
55	0.3245599506
56	0.3237544134
57	0.3229443573
58	0.3216573815
59	0.32018704
60	0.3194682057
61	0.3185395905
62	0.3177877217
63	0.3167227376
64	0.3153648461
65	0.3144960393
66	0.3138235038
67	0.3131461833
68	0.3120393959
69	0.3105198764
70	0.3092687156
71	0.3079835792
72	0.3071138889
73	0.3066637198
74	0.3060851411
75	0.3055469075
76	0.3053165123
77	0.3047345497
78	0.3042543712
79	0.3037835159
80	0.3033523394
81	0.3028899619
82	0.302677576
83	0.3022598529
84	0.3014334097
85	0.3008753709
86	0.30066827
87	0.2999435878
88	0.2988256809
89	0.2980008404
90	0.2978441903
91	0.2969197233
92	0.2965877068
93	0.295356814
94	0.2952204149
95	0.2950960533
96	0.2946083367
97	0.2943604566
98	0.2936072425
99	0.2928164799
100	0.292591528
101	0.291856693
102	0.2916425674
103	0.2912375142
104	0.2901761894
105	0.2893776228
106	0.2890784212
107	0.2884063894
108	0.2880735905
109	0.2878970298
110	0.2876637025
111	0.2873929693
112	0.2867682844
113	0.2859088598
114	0.2855590658
115	0.2848905283
116	0.2844385942
117	0.2841081943
118	0.2837897279
119	0.2832680025
120	0.2825564407
121	0.2816836336
122	0.2812643458
123	0.2810733293
124	0.2803368576
125	0.2798076226
126	0.27941503
127	0.2789144236
128	0.2788769543
129	0.2783607102
130	0.2777331489
131	0.2774060106
132	0.2768348615
133	0.2764011787
134	0.2759964116
135	0.2751129157
136	0.274364532
137	0.2742297706
138	0.2738179303
139	0.2735855308
140	0.2732061314
141	0.2725820699
142	0.2724418053
143	0.2720880696
144	0.2717076371
145	0.2712469058
146	0.2707202213
147	0.2703405499
148	0.2694662359
149	0.2687889004
150	0.2684248416
151	0.2683534164
152	0.2677717904
153	0.267104845
154	0.2668502595
155	0.2660854573
156	0.2656737101
157	0.2653346748
158	0.2650183023
159	0.264850675
160	0.2638800653
161	0.2635052185
162	0.2629549965
163	0.2621745397
164	0.2614264509
165	0.2610446105
166	0.2604827381
167	0.2597473471
168	0.2594689943
169	0.2588812399
170	0.2583992226
171	0.2579907203
172	0.2577823774
173	0.2572000805
174	0.2563912067
175	0.2560262777
176	0.2553388195
177	0.2550905901
178	0.2545571453
179	0.2539698898
180	0.2534964083
181	0.2528482278
182	0.2519326528
183	0.2518314075
184	0.2517120823
185	0.2509115935
186	0.2507186084
187	0.2504868634
188	0.2497937444
189	0.2493783848
190	0.2487053143
191	0.2483648243
192	0.2480099745
193	0.2475934831
194	0.2462749772
195	0.2456810976
196	0.2451560307
197	0.2443074933
198	0.2438600841
199	0.2430271604
200	0.2424556142
201	0.2422817609
202	0.2422817607
203	0.2416184075
204	0.241239139
205	0.2410053762
206	0.2405179661
207	0.2399058166
208	0.2394299826
209	0.2389280024
210	0.2384096065
211	0.2377573834
212	0.2374463444
213	0.2370563671
214	0.2364218318
215	0.2360876186
216	0.2356915229
217	0.2354693529
218	0.234646703
219	0.2343774921
220	0.2339200105
221	0.2333637437
222	0.2331283779
223	0.2328919047
224	0.2324499035
225	0.2321556737
226	0.231746222
227	0.2313462346
228	0.2310455282
229	0.2303360434
230	0.2297646742
231	0.2290549624
232	0.2282202476
233	0.2274184024
234	0.2271436861
235	0.2268110061
236	0.2265852697
237	0.2261022637
238	0.2257833934
239	0.2255508871
240	0.2250605839
241	0.2245629153
242	0.2240985028
243	0.2238321402
244	0.2235785199
245	0.2232613441
246	0.2231834954
247	0.2224238567
248	0.2222076447
249	0.2220140787
250	0.2217803475
251	0.2216434156
252	0.2214122612
253	0.2209527911
254	0.2206719077
255	0.2202235517
256	0.2196663371
257	0.219540391
258	0.2191921567
259	0.2186386028
260	0.2181245994
261	0.2179157901
262	0.2175708681
263	0.21739361
264	0.2167270687
265	0.2166650817
266	0.2162095324
267	0.2161029424
268	0.215882373
269	0.215578733
270	0.2153395486
271	0.2148358551
272	0.2144261159
273	0.2143236809
274	0.2140991406
275	0.2138377646
276	0.2135896865
277	0.2132760195
278	0.2129089821
279	0.212476127
280	0.2119600054
281	0.2116795998
282	0.2114753331
283	0.2114084303
284	0.2111399246
285	0.2109364979
286	0.210321193
287	0.2098636019
288	0.2094781589
289	0.2094034987
290	0.209078191
291	0.208922046
292	0.2085638694
293	0.2080031663
294	0.2075503765
295	0.2073772341
296	0.2069459036
297	0.2066487317
298	0.2063105272
299	0.2060787826
300	0.2058945608
301	0.2053232116
302	0.2052371471
303	0.2049216949
304	0.2045618823
305	0.2043948239
306	0.204100885
307	0.2036072951
308	0.2033212142
309	0.2030274816
310	0.2025096202
311	0.2023253531
312	0.2021620933
313	0.2019114039
314	0.2016735254
315	0.2015375205
316	0.2010468466
317	0.200997597
318	0.2007220627
319	0.2006329034
320	0.2002992636
321	0.2002688527
322	0.1998825075
323	0.1996890549
324	0.1992882696
325	0.1989031595
326	0.1986060679
327	0.198505905
328	0.1984500895
329	0.1981775987
330	0.197282681
331	0.1971669994
332	0.1971186338
333	0.1967392318
334	0.1965193365
335	0.196207637
336	0.1958866316
337	0.1955394829
338	0.1953147016
339	0.1952275541
340	0.1944692658
341	0.194317861
342	0.1939646595
343	0.1936896241
344	0.1934863204
345	0.1933309183
346	0.1929363607
347	0.1928813062
348	0.1926724427
349	0.1922642834
350	0.1916080085
351	0.1914128274
352	0.1912616692
353	0.1911290136
354	0.1907726005
355	0.1904661647
356	0.1900775687
357	0.1897713518
358	0.1893565288
359	0.1890203987
360	0.1888881136
361	0.1885691041
362	0.1882572893
363	0.1882362445
364	0.1880456048
365	0.1879705627
366	0.1877114511
367	0.1871753316
368	0.1869273624
369	0.1866940538
370	0.1865760726
371	0.1862325574
372	0.1860280376
373	0.1859913543
374	0.1856494039
375	0.1854061919
376	0.1851466676
377	0.1849682221
378	0.1848550117
379	0.1847532157
380	0.1844014004
381	0.184082517
382	0.1838224446
383	0.1836979639
384	0.183239791
385	0.1831172088
386	0.1827367119
387	0.1825721382
388	0.1823503094
389	0.1821121069
390	0.1818724292
391	0.1815712129
392	0.1813784621
393	0.1812164009
394	0.1810123839
395	0.1808636793
396	0.1806397232
397	0.1803175146
398	0.1800228244
399	0.1798979445
400	0.1797545961
401	0.179379263
402	0.1790889903
403	0.1789649848
404	0.178793777
405	0.1785733194
406	0.178212426
407	0.1778502536
408	0.1777645533
409	0.1774691961
410	0.1771588015
411	0.1770060777
412	0.1767465506
413	0.1764554121
414	0.1764034588
415	0.1762382147
416	0.1758492345
417	0.1757160094
418	0.1754511464
419	0.1753016933
420	0.1750802568
421	0.1746711184
422	0.1743458046
423	0.1740999371
424	0.1738670793
425	0.1735924719
426	0.1732673748
427	0.1729486191
428	0.1727459736
429	0.1725633673
430	0.1725239387
431	0.172368479
432	0.1721793868
433	0.1719821336
434	0.1717842265
435	0.171615704
436	0.1715669209
437	0.1713390201
438	0.171072224
439	0.1708862205
440	0.1707521686
441	0.1704507448
442	0.1702864547
443	0.1700049778
444	0.1699479862
445	0.1696923327
446	0.1693684767
447	0.1692105965
448	0.1690030288
449	0.1688504392
450	0.1687649146
451	0.1685488376
452	0.1684115132
453	0.1683680446
454	0.1681568215
455	0.1681254316
456	0.1679060812
457	0.1677095427
458	0.1675505124
459	0.1674377688
460	0.1671645732
461	0.1669466265
462	0.1667427044
463	0.1666311696
464	0.1664530805
465	0.1663682262
466	0.1661708954
467	0.1659372393
468	0.1659161588
469	0.1656657216
470	0.1656107497
471	0.1655462209
472	0.1653911567
473	0.1652912864
474	0.1651645164
475	0.16514813
476	0.1650257445
477	0.1648835458
478	0.1648298302
479	0.1646220521
480	0.16451287
481	0.1643431688
482	0.1642143717
483	0.1640726258
484	0.1638327671
485	0.163604062
486	0.1634819042
487	0.163417809
488	0.1631477329
489	0.1630628501
490	0.1629024859
491	0.1627492811
492	0.1626915113
493	0.1623226568
494	0.1621191487
495	0.162013387
496	0.161931855
497	0.1617983268
498	0.1616067909
499	0.1615067623
