iter	Passed	Remaining
0	66	33052
1	122	30600
2	186	30857
3	254	31576
4	308	30563
5	371	30571
6	428	30208
7	492	30260
8	554	30228
9	615	30180
10	678	30164
11	737	29992
12	799	29948
13	860	29881
14	925	29914
15	993	30062
16	1053	29945
17	1128	30222
18	1170	29643
19	1233	29595
20	1295	29548
21	1363	29617
22	1424	29533
23	1488	29517
24	1548	29430
25	1609	29340
26	1667	29213
27	1724	29074
28	1785	28991
29	1844	28890
30	1904	28814
31	1964	28730
32	2024	28644
33	2083	28550
34	2139	28427
35	2199	28351
36	2257	28248
37	2317	28175
38	2374	28063
39	2434	27995
40	2494	27925
41	2552	27832
42	2610	27745
43	2667	27644
44	2724	27548
45	2784	27479
46	2841	27388
47	2904	27350
48	2966	27301
49	3024	27222
50	3084	27157
51	3144	27091
52	3206	27045
53	3266	26978
54	3326	26912
55	3385	26839
56	3445	26778
57	3514	26781
58	3577	26742
59	3640	26693
60	3698	26618
61	3762	26582
62	3827	26549
63	3894	26532
64	3958	26493
65	4023	26460
66	4094	26460
67	4161	26436
68	4226	26399
69	4290	26354
70	4355	26314
71	4419	26270
72	4482	26220
73	4541	26142
74	4600	26071
75	4659	25994
76	4720	25930
77	4782	25873
78	4844	25816
79	4908	25767
80	4970	25709
81	5032	25651
82	5093	25590
83	5154	25525
84	5213	25454
85	5275	25395
86	5336	25334
87	5398	25273
88	5460	25216
89	5522	25156
90	5582	25091
91	5640	25015
92	5701	24950
93	5761	24886
94	5804	24745
95	5864	24679
96	5923	24609
97	5985	24552
98	6045	24487
99	6108	24433
100	6168	24368
101	6230	24311
102	6291	24251
103	6352	24189
104	6416	24137
105	6475	24069
106	6539	24017
107	6597	23947
108	6656	23878
109	6717	23817
110	6775	23744
111	6836	23684
112	6895	23614
113	6959	23564
114	7018	23495
115	7077	23428
116	7137	23364
117	7195	23292
118	7254	23225
119	7317	23172
120	7377	23106
121	7464	23128
122	7533	23089
123	7590	23016
124	7652	22958
125	7713	22894
126	7778	22844
127	7840	22785
128	7901	22724
129	7963	22666
130	8027	22610
131	8082	22532
132	8144	22472
133	8212	22431
134	8274	22372
135	8339	22319
136	8401	22260
137	8461	22197
138	8520	22129
139	8578	22059
140	8640	22000
141	8705	21948
142	8738	21815
143	8799	21755
144	8861	21694
145	8925	21640
146	8986	21580
147	9046	21516
148	9108	21456
149	9169	21395
150	9228	21330
151	9292	21274
152	9354	21215
153	9418	21160
154	9478	21096
155	9535	21027
156	9596	20966
157	9658	20907
158	9721	20848
159	9783	20789
160	9844	20728
161	9907	20670
162	9970	20614
163	10031	20552
164	10091	20488
165	10150	20422
166	10208	20355
167	10262	20280
168	10321	20215
169	10378	20146
170	10437	20081
171	10495	20014
172	10552	19945
173	10611	19881
174	10666	19809
175	10727	19747
176	10782	19676
177	10839	19608
178	10896	19540
179	10957	19480
180	11019	19421
181	11075	19352
182	11134	19288
183	11195	19227
184	11263	19178
185	11322	19114
186	11379	19047
187	11441	18988
188	11495	18916
189	11555	18853
190	11616	18793
191	11676	18731
192	11735	18667
193	11800	18613
194	11858	18547
195	11920	18489
196	11981	18428
197	12041	18366
198	12103	18307
199	12160	18241
200	12229	18192
201	12289	18130
202	12310	18011
203	12366	17942
204	12425	17880
205	12482	17815
206	12540	17751
207	12596	17683
208	12653	17618
209	12711	17554
210	12766	17486
211	12828	17427
212	12884	17361
213	12942	17296
214	13002	17236
215	13056	17166
216	13112	17100
217	13169	17035
218	13230	16975
219	13289	16914
220	13345	16847
221	13406	16788
222	13458	16717
223	13524	16664
224	13578	16596
225	13636	16532
226	13694	16469
227	13762	16418
228	13821	16356
229	13878	16292
230	13938	16231
231	13995	16167
232	14049	16099
233	14106	16035
234	14158	15966
235	14216	15903
236	14271	15836
237	14330	15775
238	14390	15715
239	14444	15648
240	14505	15588
241	14566	15529
242	14627	15470
243	14688	15410
244	14741	15343
245	14800	15281
246	14852	15212
247	14910	15151
248	14970	15090
249	15031	15031
250	15090	14970
251	15145	14904
252	15203	14842
253	15257	14776
254	15316	14715
255	15371	14651
256	15431	14591
257	15492	14531
258	15553	14472
259	15641	14438
260	15708	14384
261	15767	14323
262	15828	14264
263	15890	14204
264	15947	14142
265	16013	14087
266	16080	14032
267	16138	13970
268	16199	13911
269	16253	13845
270	16312	13784
271	16367	13720
272	16428	13660
273	16489	13600
274	16549	13540
275	16611	13481
276	16671	13421
277	16731	13361
278	16795	13303
279	16855	13243
280	16914	13182
281	16970	13119
282	17031	13059
283	17094	13001
284	17158	12943
285	17215	12881
286	17275	12821
287	17332	12758
288	17394	12700
289	17453	12638
290	17510	12576
291	17566	12512
292	17621	12449
293	17675	12384
294	17732	12322
295	17787	12258
296	17842	12195
297	17901	12134
298	17961	12074
299	18015	12010
300	18079	11952
301	18139	11892
302	18196	11830
303	18253	11768
304	18312	11707
305	18371	11647
306	18429	11585
307	18486	11524
308	18543	11462
309	18608	11405
310	18668	11345
311	18728	11285
312	18797	11230
313	18857	11170
314	18915	11108
315	18976	11049
316	19034	10988
317	19092	10927
318	19164	10873
319	19219	10810
320	19277	10749
321	19332	10687
322	19399	10630
323	19456	10568
324	19511	10506
325	19569	10445
326	19622	10381
327	19682	10321
328	19736	10258
329	19794	10197
330	19854	10137
